singer,singer_link
林俊杰,https://music.163.com/artist?id=3684
陈奕迅,https://music.163.com/artist?id=2116
郑润泽,https://music.163.com/artist?id=29051613
颜人中,https://music.163.com/artist?id=31376161
汪苏泷,https://music.163.com/artist?id=5538
方大同,https://music.163.com/artist?id=2738
薛之谦,https://music.163.com/artist?id=5781
陶喆,https://music.163.com/artist?id=5196
加木,https://music.163.com/artist?id=49320722
王力宏,https://music.163.com/artist?id=5346
许嵩,https://music.163.com/artist?id=5771
张杰,https://music.163.com/artist?id=6472
h3R3,https://music.163.com/artist?id=12631485
毛不易,https://music.163.com/artist?id=12138269
李荣浩,https://music.163.com/artist?id=4292
王赫野,https://music.163.com/artist?id=47091532
赵雷,https://music.163.com/artist?id=6731
LBI利比,https://music.163.com/artist?id=12277194
DJ阿智,https://music.163.com/artist?id=58149097
鹿晗,https://music.163.com/artist?id=1038093
梁博,https://music.163.com/artist?id=166010
华晨宇,https://music.163.com/artist?id=861777
TINY7,https://music.163.com/artist?id=33204812
周深,https://music.163.com/artist?id=1030001
队长,https://music.163.com/artist?id=1143033
马思唯,https://music.163.com/artist?id=1132392
蔡徐坤,https://music.163.com/artist?id=12932368
郭顶,https://music.163.com/artist?id=2843
黄子弘凡,https://music.163.com/artist?id=34862670
陈楚生,https://music.163.com/artist?id=2124
亞細亞曠世奇才,https://music.163.com/artist?id=51497522
徐良,https://music.163.com/artist?id=5929
周传雄,https://music.163.com/artist?id=6652
贝乐虎,https://music.163.com/artist?id=30109388
余佳运,https://music.163.com/artist?id=1079074
罗言,https://music.163.com/artist?id=33863232
Wiz_H张子豪,https://music.163.com/artist?id=13112601
张学友,https://music.163.com/artist?id=6460
胡彦斌,https://music.163.com/artist?id=3066
法老,https://music.163.com/artist?id=865007
艾志恒Asen,https://music.163.com/artist?id=12198387
TizzyT,https://music.163.com/artist?id=1204010
GAI周延,https://music.163.com/artist?id=1211046
张信哲,https://music.163.com/artist?id=6454
Zy,https://music.163.com/artist?id=37123911
摩登兄弟刘宇宁,https://music.163.com/artist?id=1094010
韦礼安,https://music.163.com/artist?id=5379
张震岳,https://music.163.com/artist?id=6453
海洋Bo,https://music.163.com/artist?id=36985903
杨宗纬,https://music.163.com/artist?id=6066
Gareth.T,https://music.163.com/artist?id=32944030
古巨基,https://music.163.com/artist?id=2849
周兴哲,https://music.163.com/artist?id=980025
王杰,https://music.163.com/artist?id=5358
杜宣达,https://music.163.com/artist?id=12060040
Capper,https://music.163.com/artist?id=12193174
渡,https://music.163.com/artist?id=33915432
邵帅,https://music.163.com/artist?id=29392693
阿冗,https://music.163.com/artist?id=30116848
陆虎,https://music.163.com/artist?id=3793
沈以诚,https://music.163.com/artist?id=12002248
ET,https://music.163.com/artist?id=49513323
Lunak,https://music.163.com/artist?id=28416428
江辰,https://music.163.com/artist?id=12641765
林达浪,https://music.163.com/artist?id=15199791
许巍,https://music.163.com/artist?id=5770
李宗盛,https://music.163.com/artist?id=3683
陈小春,https://music.163.com/artist?id=2112
宝石Gem,https://music.163.com/artist?id=12084497
曾舜晞,https://music.163.com/artist?id=12008056
mac ova seas,https://music.163.com/artist?id=30704161
王以太,https://music.163.com/artist?id=12236125
周柏豪,https://music.163.com/artist?id=6479
DJ阿布,https://music.163.com/artist?id=58160751
TC,https://music.163.com/artist?id=12324449
Lil Ghost小鬼,https://music.163.com/artist?id=12493781
卢广仲,https://music.163.com/artist?id=3690
潘玮柏,https://music.163.com/artist?id=4723
Aioz,https://music.163.com/artist?id=29235210
高旭,https://music.163.com/artist?id=33900743
李克勤,https://music.163.com/artist?id=3699
沙一汀EL,https://music.163.com/artist?id=31561897
张紫豪,https://music.163.com/artist?id=13906123
en（王翊恩）,https://music.163.com/artist?id=32220939
Ice Paper,https://music.163.com/artist?id=12121264
周杰伦,https://music.163.com/artist?id=6452
kkluv,https://music.163.com/artist?id=28642672
王源,https://music.163.com/artist?id=956386
张远,https://music.163.com/artist?id=10695
step.jad依加,https://music.163.com/artist?id=12275767
杨坤,https://music.163.com/artist?id=6068
葛东琪,https://music.163.com/artist?id=12136078
Happer,https://music.163.com/artist?id=58203900
揽佬SKAI ISYOURGOD,https://music.163.com/artist?id=31055231
MC HotDog 热狗,https://music.163.com/artist?id=4479
刘思达LOFTHESTAR,https://music.163.com/artist?id=12030367
徐秉龙,https://music.163.com/artist?id=1197168
THOME,https://music.163.com/artist?id=12110173
杨和苏KeyNG,https://music.163.com/artist?id=13899303
王安宇,https://music.163.com/artist?id=29804746
